Pos,Rk,Player,From,To,Draft,Tm,Lg,G,GS,Attempts,Yards,Yards/Attempt,Touchdowns,Yards/Game
rb,1,Emmitt Smith,1990,2004,1-17,TOT,NFL,226,219,4409,18355,4.16,164,81.2
rb,2,Walter Payton,1975,1987,1-4,CHI,NFL,190,184,3838,16726,4.36,110,88.0
rb,3,Barry Sanders,1989,1998,1-3,DET,NFL,153,151,3062,15269,4.99,99,99.8
rb,4,Frank Gore,2005,2018,3-65,TOT,NFL,210,196,3382,14748,4.36,77,70.2
rb,5,Curtis Martin,1995,2005,3-74,TOT,NFL,168,166,3518,14101,4.01,90,83.9
rb,6,LaDainian Tomlinson,2001,2011,1-5,TOT,NFL,170,155,3174,13684,4.31,145,80.5
rb,7,Jerome Bettis,1993,2005,1-10,TOT,NFL,192,153,3479,13662,3.93,91,71.2
rb,8,Adrian Peterson,2007,2018,1-7,TOT,NFL,149,139,2825,13318,4.71,106,89.4
rb,9,Eric Dickerson,1983,1993,1-2,TOT,NFL,146,136,2996,13259,4.43,90,90.8
rb,10,Tony Dorsett,1977,1988,1-2,TOT,NFL,173,152,2936,12739,4.34,77,73.6
