,,,,,,,Games,Games,Punting,Punting,Punting,Punting
Rk,Player,From,To,Draft,Tm,Lg,G,GS,Pnt,Yds,Y/P,Blck
1,Jeff Feagles\FeagJe20,1988,2009,,TOT,NFL,352,0,1713,71211,41.57,12
2,Shane Lechler\LechSh20,2000,2017,5-142,TOT,NFL,286,0,1444,68676,47.56,5
3,Sean Landeta\LandSe20,1985,2005,,TOT,NFL,284,0,1401,60707,43.33,6
4,Brad Maynard\MaynBr20,1997,2011,3-95,TOT,NFL,238,0,1339,56021,41.84,5
5,Andy Lee\LeexAn20,2004,2018,6-188,TOT,NFL,233,0,1229,57234,46.57,4
6,Lee Johnson\johnslee01,1985,2002,5-138,TOT,NFL,259,0,1226,51979,42.40,6
7,Chris Gardocki\GardCh20,1991,2006,3-78,TOT,NFL,244,0,1177,50336,42.77,0
8,Donnie Jones\JoneDo21,2004,2018,7-224,TOT,NFL,226,0,1157,52490,45.37,7
9,Dave Jennings\JennDa20,1974,1987,,TOT,NFL,205,0,1154,47567,41.22,9
10,Chris Mohr\MohrCh20,1989,2004,6-146,TOT,NFL,239,0,1152,46570,40.43,4
11,Craig Hentrich\hentrcra01,1994,2009,8-200,TOT,NFL,241,0,1150,49281,42.85,3
12,Matt Turk\TurkMa20,1995,2011,,TOT,NFL,244,0,1143,48414,42.36,3
13,Rohn Stark\StarRo20,1982,1997,2-34,TOT,NFL,233,0,1141,49471,43.36,7
14,Bryan Barker\BarkBr20,1990,2005,,TOT,NFL,238,0,1132,47641,42.09,2
15,Mark Royals\RoyaMa20,1987,2003,,TOT,NFL,224,0,1116,47021,42.13,4
16,John James\JameJo20,1972,1984,,TOT,NFL,187,0,1083,43992,40.62,6
17,Dustin Colquitt\ColqDu20,2005,2018,3-99,KAN,NFL,222,0,1076,48267,44.86,5
18,Jerrel Wilson\WilsJe20,1963,1978,17-225 11-88AFL,TOT,TOT,217,0,1072,46139,43.04,12
19,Brian Hansen\HansBr20,1984,1999,9-237,TOT,NFL,212,0,1057,44700,42.29,10
20,Dan Stryzinski\StryDa20,1990,2003,,TOT,NFL,224,0,1055,42072,39.88,6
21,Ray Guy*\GuyxRa20,1973,1986,1-23,RAI,NFL,207,0,1049,44493,42.41,3
22,Rich Camarillo\camarric01,1981,1996,,TOT,NFL,205,0,1027,43895,42.74,6
23,Sam Koch\KochSa20,2006,2018,6-203,RAV,NFL,208,0,1006,45596,45.32,6
24,Mike Horan\HoraMi20,1984,1999,9-235,TOT,NFL,205,0,1003,42286,42.16,7
25,Reggie Roby\RobyRe20,1983,1998,6-167,TOT,NFL,238,0,992,42951,43.30,5
26,Jeff Gossett\GossJe20,1981,1996,,TOT,NFL,212,0,982,40569,41.31,4
27,Brian Moorman\MoorBr24,2001,2013,,TOT,NFL,202,0,979,42867,43.79,2
28,Mike Bragg\BragMi20,1968,1980,5-117,TOT,NFL,188,0,978,38949,39.83,10
29,Bobby Walden\WaldBo20,1964,1977,4-32 4-32AFL,TOT,NFL,194,0,974,40529,41.61,5
30,Bobby Joe Green\GreeBo20,1960,1973,9-102,TOT,NFL,187,0,970,41317,42.59,3
31,John Kidd\KiddJo20,1984,1998,5-128,TOT,NFL,215,0,957,39716,41.50,6
32,Nick Harris\HarrNi20,2001,2012,4-120,TOT,NFL,183,0,943,39996,42.41,4
33,Jon Ryan\RyanJo21,2006,2017,,TOT,NFL,191,0,914,40883,44.73,7
34,Tommy Barnhardt\BarnTo22,1987,2000,9-223,TOT,NFL,186,0,890,37469,42.10,3
35,Todd Sauerbrun\SaueTo20,1995,2007,2-56,TOT,NFL,178,0,889,39208,44.10,9
36,Bob Parsons\ParsBo00,1972,1983,5-117,CHI,NFL,170,11,884,34180,38.67,5
37,Tom Tupa\TupaTo20,1988,2004,3-68,TOT,NFL,220,13,873,37862,43.37,2
38,Dave Zastudil\ZastDa20,2002,2014,4-112,TOT,NFL,162,0,869,38016,43.75,3
39,Jim Arnold\ArnoJi20,1983,1994,5-119,TOT,NFL,174,0,866,36637,42.31,5
40,Mitch Berger\BergMi20,1994,2009,6-193,TOT,NFL,187,0,847,36363,42.93,3
41,David Lee\LeexDa21,1966,1978,,CLT,NFL,184,0,838,34019,40.60,11
42,Darren Bennett\BennDa20,1995,2005,,TOT,NFL,160,0,836,36316,43.44,3
43,Brett Kern\KernBr20,2008,2018,,TOT,NFL,174,0,834,38256,45.87,5
44,Greg Coleman\ColeGr20,1977,1988,14-398,TOT,NFL,162,0,820,33285,40.59,3
45,Tom Blanchard\BlanTo20,1971,1981,12-304,TOT,NFL,148,0,819,33794,41.26,12
46,Mike Saxon\SaxoMi20,1985,1995,11-300,TOT,NFL,172,0,813,33887,41.68,7
47,Tom Rouen\rouentom01,1993,2005,,TOT,NFL,188,0,810,35189,43.44,9
48,Jason Baker\BakeJa20,2001,2011,,TOT,NFL,167,0,798,34097,42.73,6
