,,,,,,,Games,Games,Rushing,Rushing,Rushing,Rushing,Rushing
Rk,Player,From,To,Draft,Tm,Lg,G,GS,Att,Yds,Y/A,TD,Y/G
1,Emmitt Smith*\SmitEm00,1990,2004,1-17,TOT,NFL,226,219,4409,18355,4.16,164,81.2
2,Walter Payton*\PaytWa00,1975,1987,1-4,CHI,NFL,190,184,3838,16726,4.36,110,88.0
3,Barry Sanders*\SandBa00,1989,1998,1-3,DET,NFL,153,151,3062,15269,4.99,99,99.8
4,Frank Gore\GoreFr00,2005,2018,3-65,TOT,NFL,210,196,3382,14748,4.36,77,70.2
5,Curtis Martin*\MartCu00,1995,2005,3-74,TOT,NFL,168,166,3518,14101,4.01,90,83.9
6,LaDainian Tomlinson*\TomlLa00,2001,2011,1-5,TOT,NFL,170,155,3174,13684,4.31,145,80.5
7,Jerome Bettis*\BettJe00,1993,2005,1-10,TOT,NFL,192,153,3479,13662,3.93,91,71.2
8,Adrian Peterson\PeteAd01,2007,2018,1-7,TOT,NFL,149,139,2825,13318,4.71,106,89.4
9,Eric Dickerson*\DickEr00,1983,1993,1-2,TOT,NFL,146,136,2996,13259,4.43,90,90.8
10,Tony Dorsett*\DorsTo00,1977,1988,1-2,TOT,NFL,173,152,2936,12739,4.34,77,73.6
11,Jim Brown*\BrowJi00,1957,1965,1-6,CLE,NFL,118,118,2359,12312,5.22,106,104.3
12,Marshall Faulk*\FaulMa00,1994,2005,1-2,TOT,NFL,176,156,2836,12279,4.33,100,69.8
13,Edgerrin James\JameEd00,1999,2009,1-4,TOT,NFL,148,135,3028,12246,4.04,80,82.7
14,Marcus Allen*\AlleMa00,1982,1997,1-10,TOT,NFL,222,168,3022,12243,4.05,123,55.1
15,Franco Harris*\HarrFr00,1972,1984,1-13,TOT,NFL,173,162,2949,12120,4.11,91,70.1
16,Thurman Thomas*\ThomTh00,1988,2000,2-40,TOT,NFL,182,160,2877,12074,4.20,65,66.3
17,Fred Taylor\TaylFr00,1998,2010,1-9,TOT,NFL,153,137,2534,11695,4.62,66,76.4
18,Steven Jackson\JackSt00,2004,2015,1-24,TOT,NFL,160,147,2764,11438,4.14,69,71.5
19,John Riggins*\RiggJo00,1971,1985,1-6,TOT,NFL,175,159,2916,11352,3.89,104,64.9
20,Corey Dillon\DillCo00,1997,2006,2-43,TOT,NFL,150,132,2618,11241,4.29,82,74.9
21,O.J. Simpson*\SimpO.00,1969,1979,1-1,TOT,TOT,135,129,2404,11236,4.67,61,83.2
22,Warrick Dunn\DunnWa00,1997,2008,1-12,TOT,NFL,181,154,2669,10967,4.11,49,60.6
23,Ricky Watters\WattRi00,1992,2001,2-45,TOT,NFL,144,142,2622,10643,4.06,78,73.9
24,Jamal Lewis\LewiJa00,2000,2009,1-5,TOT,NFL,131,126,2542,10607,4.17,58,81.0
25,LeSean McCoy\McCoLe01,2009,2018,2-53,TOT,NFL,147,132,2346,10606,4.52,69,72.1
26,Thomas Jones\JoneTh00,2000,2011,1-7,TOT,NFL,180,125,2678,10591,3.95,68,58.8
27,Tiki Barber\BarbTi00,1997,2006,2-36,NYG,NFL,154,109,2217,10449,4.71,55,67.9
28,Eddie George\GeorEd00,1996,2004,1-14,TOT,NFL,141,136,2865,10441,3.64,68,74.0
29,Marshawn Lynch\LyncMa00,2007,2018,1-12,TOT,NFL,148,135,2441,10379,4.25,84,70.1
30,Ottis Anderson\AndeOt00,1979,1992,1-8,TOT,NFL,182,125,2562,10273,4.01,81,56.4
31,Ricky Williams\WillRi00,1999,2011,1-5,TOT,NFL,147,83,2431,10009,4.12,66,68.1
32,Clinton Portis\PortCl00,2002,2010,2-51,TOT,NFL,113,108,2230,9923,4.45,75,87.8
33,Matt Forte\FortMa00,2008,2017,2-44,TOT,NFL,146,137,2356,9796,4.16,54,67.1
34,Joe Perry*\PerrJo00,1948,1963,,TOT,TOT,183,132,1929,9723,5.04,71,53.1
35,Chris Johnson\JohnCh04,2008,2017,1-24,TOT,NFL,130,111,2163,9651,4.46,55,74.2
36,Shaun Alexander\AlexSh00,2000,2008,1-19,TOT,NFL,123,96,2187,9453,4.32,100,76.9
37,Earl Campbell*\CampEa00,1978,1985,1-1,TOT,NFL,115,102,2187,9407,4.30,74,81.8
38,Ahman Green\GreeAh00,1998,2009,3-76,TOT,NFL,148,97,2056,9205,4.48,60,62.2
39,Terry Allen\AlleTe00,1991,2001,9-241,TOT,NFL,130,114,2152,8614,4.00,73,66.3
40,Jim Taylor*\TaylJi00,1958,1967,2-15,TOT,NFL,132,117,1941,8597,4.43,83,65.1
41,Willis McGahee\McGaWi00,2004,2013,1-23,TOT,NFL,142,95,2095,8474,4.04,65,59.7
42,Earnest Byner\ByneEa00,1984,1997,10-280,TOT,NFL,211,131,2095,8261,3.94,56,39.2
