,,,,,,,Games,Games,Tackles,Tackles,Tackles,Tackles,Tackles,Tackles
Rk,Player,From,To,Draft,Tm,Lg,G,GS,Sk,Solo,Ast,Comb,TFL,QBHits
1,Ray Lewis*,1996,2012,1-26,RAV,NFL,228,227,41.5,1562,493,2055,99,40
2,London Fletcher,1998,2013,,TOT,NFL,256,240,39.0,1380,651,2031,109,29
3,Junior Seau*,1990,2009,1-5,TOT,NFL,268,243,56.5,1522,324,1846,80,11
4,Jessie Tuggle,1987,2000,,ATL,NFL,209,189,21.0,1640,164,1804,8,
5,Zach Thomas,1996,2008,5-154,TOT,NFL,184,182,20.5,1100,627,1727,74,5
6,Derrick Brooks*,1995,2008,1-28,TAM,NFL,224,221,13.5,1297,413,1710,68,1
7,Clay Matthews,1978,1996,1-12,TOT,NFL,278,248,69.5,1561,34,1595,,
8,Hardy Nickerson,1987,2002,5-122,TOT,NFL,225,200,21.0,1270,314,1584,16,
9,Donnie Edwards,1996,2008,4-98,TOT,NFL,197,180,23.5,1123,367,1490,66,9
10,Kyle Clifton,1984,1996,3-64,NYJ,NFL,204,149,5.5,1468,16,1484,,
11,Lawyer Milloy,1996,2010,2-36,TOT,NFL,234,213,21.0,1033,405,1438,42,18
12,Keith Brooking,1998,2012,1-12,TOT,NFL,225,193,22.0,1097,338,1435,58,26
13,Takeo Spikes,1998,2012,1-13,TOT,NFL,219,215,29.0,1013,412,1425,79,18
14,Karlos Dansby,2004,2017,2-33,TOT,NFL,212,193,43.0,1073,344,1417,127,64
15,James Farrior,1997,2011,1-8,TOT,NFL,230,197,35.5,983,429,1412,98,47
16,Chris Spielman,1988,1997,2-29,TOT,NFL,148,148,10.5,1181,182,1363,,
17,Brian Urlacher*,2000,2012,1-9,CHI,NFL,182,180,41.5,1040,314,1354,138,24
18,Ken Norton,1988,2000,2-41,TOT,NFL,191,188,12.5,1130,144,1274,16,
19,Sam Mills,1986,1997,,TOT,NFL,181,173,20.5,1142,123,1265,,
20,Darryl Talley,1983,1996,2-39,TOT,NFL,216,187,38.5,1190,62,1252,,
21,Mo Lewis,1991,2003,3-63,NYJ,NFL,200,199,52.5,1006,221,1227,37,
22,Mike Johnson,1986,1995,1-18,TOT,NFL,144,125,14.5,1146,78,1224,,
23,Bruce Smith*,1985,2003,1-1,TOT,NFL,279,267,200.0,1075,149,1224,41,
24,D'Qwell Jackson,2006,2016,2-34,TOT,NFL,141,140,19.5,767,452,1219,51,36
25,Paul Posluszny,2007,2017,2-34,TOT,NFL,145,140,16.0,881,332,1213,59,49
26,Mike Peterson,1999,2012,2-36,TOT,NFL,198,163,21.5,885,316,1201,70,17
27,Cornelius Bennett,1987,2000,1-2,TOT,NFL,206,204,71.5,1048,142,1190,16,
28,Marvcus Patton,1990,2002,8-208,TOT,NFL,208,163,27.5,975,211,1186,43,
29,Rickey Jackson*,1981,1995,2-51,TOT,NFL,227,225,128.0,1173,7,1180,,
30,Lance Briggs,2003,2014,3-68,CHI,NFL,173,170,15.0,936,238,1174,97,24
31,Derrick Johnson,2005,2018,1-15,TOT,NFL,188,170,27.5,952,216,1168,103,40
32,Jeff Herrod,1988,1998,9-243,TOT,NFL,153,125,14.5,1042,114,1156,,
33,Roman Phifer,1991,2005,2-31,TOT,NFL,212,177,29.0,892,236,1128,26,
34,Seth Joyner,1986,1998,8-208,TOT,NFL,195,172,52.0,1056,67,1123,,
35,Micheal Barrow,1993,2005,2-47,TOT,NFL,173,153,43.0,791,329,1120,57,
36,Karl Mecklenburg,1983,1994,12-310,DEN,NFL,180,141,79.0,1104,14,1118,,
37,Bill Romanowski,1988,2003,3-80,TOT,NFL,243,222,39.5,964,154,1118,30,
38,Thomas Davis,2005,2018,1-14,CAR,NFL,176,158,28.0,796,315,1111,87,59
39,Reggie White*,1985,2000,1-4,TOT,NFL,232,228,198.0,1048,63,1111,5,
40,David Harris,2007,2017,2-47,TOT,NFL,164,153,36.5,723,386,1109,55,69
41,Chad Greenway,2007,2016,1-17,MIN,NFL,156,144,18.0,760,341,1101,62,42
42,Daryl Smith,2004,2016,2-39,TOT,NFL,190,184,30.5,774,327,1101,78,52
43,Derek Smith,1997,2008,3-80,TOT,NFL,174,167,13.5,802,293,1095,63,3
44,Greg Biekert,1993,2003,7-181,TOT,NFL,176,155,16.0,832,261,1093,35,
45,Pepper Johnson,1986,1998,2-51,TOT,NFL,193,158,25.5,983,107,1090,,
46,Chad Brown,1993,2007,2-44,TOT,NFL,188,161,79.0,835,253,1088,58,2
47,Keith Bulluck,2000,2010,1-30,TOT,NFL,170,138,18.0,791,296,1087,61,6
48,Duane Bickett,1985,1996,1-5,TOT,NFL,175,138,53.0,1071,8,1079,,
49,Lawrence Timmons,2007,2017,1-15,TOT,NFL,172,140,35.5,738,334,1072,71,86
50,Tedy Bruschi,1996,2008,3-86,NWE,NFL,189,139,30.5,675,388,1063,45,9
51,Eric Hill,1989,1999,1-10,TOT,NFL,160,151,9.0,870,174,1044,2,
52,Wilber Marshall,1984,1995,1-11,TOT,NFL,179,153,45.0,1020,23,1043,,
53,Nick Barnett,2003,2013,1-29,TOT,NFL,153,139,20.5,732,309,1041,68,24
54,Gary Plummer,1986,1997,,TOT,NFL,180,163,4.5,997,32,1029,,
55,Levon Kirkland,1992,2002,2-38,TOT,NFL,176,155,19.5,771,252,1023,24,
56,Marvin Jones,1993,2003,1-4,NYJ,NFL,142,129,9.0,725,296,1021,25,
57,Tim Krumrie,1983,1994,10-276,CIN,NFL,188,161,34.5,1008,9,1017,,
58,Michael Brooks,1987,1996,3-86,TOT,NFL,138,113,7.0,962,54,1016,,
59,Henry Thomas,1987,2000,3-72,TOT,NFL,213,199,93.5,868,140,1008,14,
60,Ronald McKinnon,1996,2005,,TOT,NFL,157,128,12.0,700,307,1007,51,
61,Jack Del Rio,1985,1995,3-68,TOT,NFL,160,128,13.0,941,64,1005,,
62,Monte Coleman,1979,1994,11-289,WAS,NFL,215,62,43.5,999,3,1002,,
63,Bobby Wagner,2012,2018,2-47,SEA,NFL,103,102,16.5,591,390,981,51,60
64,Luke Kuechly,2012,2018,1-9,CAR,NFL,102,102,12.5,620,357,977,71,26
65,Chris Doleman*,1985,1999,1-4,TOT,NFL,232,213,150.5,914,61,975,11,
66,DeMeco Ryans,2006,2015,2-33,TOT,NFL,140,139,13.5,735,235,970,72,34
