,,,,,,,Games,Games,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring
Rk,Player,From,To,Draft,Tm,Lg,G,GS,TD,XPM,XPA,XP%,FGM,FGA,FG%,2PM,Sfty,Pts
1,Adam Vinatieri,1996,2018,,TOT,NFL,353,0,0,852,870,97.9,582,690,84.3,1,,2600
2,Morten Andersen*,1982,2007,4-86,TOT,NFL,382,0,0,849,859,98.8,565,709,79.7,,,2544
3,Gary Anderson,1982,2004,7-171,TOT,NFL,353,0,0,820,827,99.2,538,672,80.1,,,2434
4,Jason Hanson,1992,2012,2-56,DET,NFL,327,0,0,665,673,98.8,495,601,82.4,,,2150
5,John Carney,1988,2010,,TOT,NFL,302,0,0,628,638,98.4,478,580,82.4,,,2062
6,Matt Stover,1991,2009,12-329,TOT,NFL,297,0,0,591,594,99.5,471,563,83.7,,,2004
7,George Blanda*,1949,1975,12-119,TOT,TOT,340,106,9,943,959,98.3,335,639,52.4,,,2002
8,Jason Elam,1993,2009,3-70,TOT,NFL,263,0,0,675,679,99.4,436,540,80.7,,,1983
9,John Kasay,1991,2011,4-98,TOT,NFL,301,0,0,587,598,98.2,461,563,81.9,,,1970
10,Sebastian Janikowski,2000,2018,1-17,TOT,NFL,284,0,0,605,614,98.5,436,542,80.4,,,1913
11,Phil Dawson,1999,2018,,TOT,NFL,305,0,1,518,531,97.6,441,526,83.8,,,1847
12,Stephen Gostkowski,2006,2018,4-118,NWE,NFL,200,0,0,642,649,98.9,367,420,87.4,,,1743
13,Norm Johnson,1982,1999,,TOT,NFL,273,0,0,638,644,99.1,366,477,76.7,,,1736
14,David Akers,1998,2013,,TOT,NFL,237,0,0,563,570,98.8,386,477,80.9,,,1721
15,Matt Bryant,2002,2018,,TOT,NFL,235,0,0,553,560,98.8,388,450,86.2,,,1717
16,Nick Lowery,1978,1996,,TOT,NFL,260,0,0,562,568,98.9,383,479,80.0,,,1711
17,Jan Stenerud*,1967,1985,,TOT,TOT,263,0,0,580,601,96.5,373,558,66.8,,,1699
18,Ryan Longwell,1997,2012,,TOT,NFL,240,0,0,604,613,98.5,361,434,83.2,,,1687
19,Lou Groza*,1946,1967,,CLE,TOT,268,152,1,810,833,97.2,264,481,54.9,,,1608
20,Eddie Murray,1980,2000,7-166,TOT,NFL,250,0,0,538,545,98.7,352,466,75.5,,,1594
21,Al Del Greco,1984,2000,,TOT,NFL,248,0,0,543,551,98.5,347,449,77.3,,,1584
22,Olindo Mare,1997,2012,,TOT,NFL,235,0,0,487,493,98.8,356,439,81.1,,,1555
23,Robbie Gould,2005,2018,,TOT,NFL,208,0,0,454,465,97.6,358,408,87.7,,,1528
