,,,,,,,Games,Games,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions
Rk,Player,From,To,Draft,Tm,Lg,G,GS,Int,Yds,TD,PD
1,Champ Bailey*,1999,2013,1-7,TOT,NFL,215,212,52,464,4,203
2,Ronde Barber,1997,2012,3-66,TAM,NFL,241,232,47,923,8,197
3,Terence Newman,2003,2017,1-5,TOT,NFL,221,205,42,363,3,183
4,Charles Woodson,1998,2015,1-4,TOT,NFL,254,251,65,966,11,183
5,Johnathan Joseph,2006,2018,1-24,TOT,NFL,186,175,30,638,7,181
6,Asante Samuel,2003,2013,4-120,TOT,NFL,157,133,51,728,6,164
7,Brian Dawkins*,1996,2011,2-61,TOT,NFL,224,221,37,513,2,153
8,Dre' Bly,1999,2009,2-41,TOT,NFL,167,117,43,652,5,150
9,Sheldon Brown,2002,2012,2-59,TOT,NFL,175,144,26,419,4,146
10,Dominique Rodgers-Cromartie,2008,2018,1-16,TOT,NFL,160,121,30,535,6,146
11,Nate Clements,2001,2012,1-21,TOT,NFL,180,168,36,508,5,144
12,Tramon Williams,2007,2018,,TOT,NFL,183,146,32,437,1,144
13,DeAngelo Hall,2004,2017,1-8,TOT,NFL,171,160,43,838,5,141
14,Brent Grimes,2007,2018,,TOT,NFL,148,132,33,461,3,140
15,Al Harris,1998,2011,6-169,TOT,NFL,194,128,21,407,3,140
16,Quentin Jammer,2002,2013,1-5,TOT,NFL,183,162,21,210,1,140
17,Charles Tillman,2003,2015,2-35,TOT,NFL,168,164,38,675,8,140
18,Ed Reed*,2002,2013,1-24,TOT,NFL,174,169,64,1590,7,139
19,Darrelle Revis,2007,2017,1-14,TOT,NFL,145,142,29,466,3,139
20,Chris McAlister,1999,2009,1-10,TOT,NFL,137,127,26,486,5,138
21,Ike Taylor,2003,2014,4-125,PIT,NFL,174,140,14,151,1,134
22,Brandon Carr,2008,2018,5-140,TOT,NFL,176,176,21,367,2,132
23,Rashean Mathis,2003,2015,2-39,TOT,NFL,175,165,32,553,4,132
24,Walt Harris,1996,2008,1-13,TOT,NFL,193,174,35,332,4,129
25,Darren Sharper,1997,2010,2-60,TOT,NFL,205,182,63,1412,11,123
26,Aqib Talib,2008,2018,1-20,TOT,NFL,143,129,35,752,10,123
27,Mike McKenzie,1999,2009,3-87,TOT,NFL,138,131,28,433,4,122
28,Joe Haden,2010,2018,1-7,TOT,NFL,116,107,22,232,1,120
29,Will Allen,2001,2012,1-22,TOT,NFL,140,130,15,192,1,118
30,Leon Hall,2007,2018,1-18,TOT,NFL,152,112,27,290,3,118
31,Antonio Cromartie,2006,2016,1-19,TOT,NFL,162,137,31,545,3,117
32,Antoine Winfield,1999,2012,1-23,TOT,NFL,191,173,27,259,2,117
33,Tory James,1996,2006,2-44,TOT,NFL,158,86,39,377,0,114
34,Samari Rolle,1998,2008,2-46,TOT,NFL,149,133,31,425,1,112
35,Deshea Townsend,1998,2010,4-117,TOT,NFL,191,80,21,190,3,112
36,Marcus Trufant,2003,2012,1-11,SEA,NFL,136,125,21,370,2,112
37,Shawn Springs,1997,2009,1-3,TOT,NFL,169,155,33,429,2,111
38,Deon Grant,2001,2011,2-57,TOT,NFL,176,161,30,267,0,110
39,Ken Lucas,2001,2009,2-40,TOT,NFL,138,112,25,298,1,110
40,Brandon Flowers,2008,2016,2-35,TOT,NFL,119,117,21,421,4,109
41,Anthony Henry,2001,2009,4-97,TOT,NFL,132,96,31,533,3,109
42,Carlos Rogers,2005,2014,1-9,TOT,NFL,133,123,17,374,2,109
43,Ty Law*,1995,2009,1-23,TOT,NFL,203,189,53,828,7,108
44,Troy Polamalu,2003,2014,1-16,PIT,NFL,158,142,32,398,3,107
45,Patrick Surtain,1998,2008,2-44,TOT,NFL,163,131,37,430,2,105
46,Drayton Florence,2003,2013,2-46,TOT,NFL,157,104,20,273,3,104
47,Sam Madison,1997,2008,2-44,TOT,NFL,173,154,38,595,2,103
48,Richard Sherman,2011,2018,5-154,TOT,NFL,119,113,32,395,2,103
49,Aaron Glenn,1994,2008,1-12,TOT,NFL,205,176,41,560,6,102
50,Troy Vincent,1992,2006,1-7,TOT,NFL,207,200,47,711,3,102
51,Reggie Nelson,2007,2018,1-21,TOT,NFL,181,164,38,486,1,101
52,Deltha O'Neal,2000,2008,1-15,TOT,NFL,132,85,34,452,3,101
53,Brian Kelly,1998,2008,2-45,TOT,NFL,141,89,22,227,1,100
54,Marcus Coleman,1996,2006,5-133,TOT,NFL,152,101,25,476,2,99
55,Terrence McGee,2003,2012,4-111,BUF,NFL,122,90,17,166,1,99
56,Adrian Wilson,2001,2012,3-64,CRD,NFL,181,162,27,508,2,99
57,Chris Gamble,2004,2012,1-28,CAR,NFL,123,117,27,326,2,98
58,Vontae Davis,2009,2018,1-25,TOT,NFL,121,113,22,228,1,97
59,Adam Jones,2005,2018,1-6,TOT,NFL,146,104,17,239,2,97
60,Jason McCourty,2009,2018,6-203,TOT,NFL,138,116,17,158,1,97
61,Corey Webster,2005,2013,2-43,NYG,NFL,121,93,20,226,1,97
62,London Fletcher,1998,2013,,TOT,NFL,256,240,23,168,2,96
63,Jabari Greer,2004,2013,,TOT,NFL,133,86,13,240,4,96
64,Andre' Goodman,2002,2011,3-68,TOT,NFL,127,95,19,206,1,95
65,Sean Smith,2009,2017,2-61,TOT,NFL,137,123,14,226,1,95
66,Eric Weddle,2007,2018,2-37,TOT,NFL,185,170,29,467,4,94
67,Donnie Abraham,1996,2004,3-71,TOT,NFL,132,112,38,468,3,92
68,Stephon Gilmore,2012,2018,1-10,TOT,NFL,97,95,18,311,0,91
69,Dunta Robinson,2004,2013,1-10,TOT,NFL,139,128,17,194,1,91
70,Darius Slay,2013,2018,2-36,DET,NFL,89,80,17,246,1,91
71,Lardarius Webb,2009,2017,3-88,RAV,NFL,127,86,15,153,1,91
72,Mike Adams,2004,2018,,TOT,NFL,222,149,30,337,2,90
73,Nick Harper,2001,2009,,TOT,NFL,127,98,21,286,1,90
74,Janoris Jenkins,2012,2018,2-39,TOT,NFL,100,96,18,447,7,90
75,Kareem Jackson,2010,2018,1-20,HTX,NFL,132,124,16,336,3,88
76,Cortland Finnegan,2006,2015,7-215,TOT,NFL,133,111,18,426,4,87
77,William Gay,2007,2017,5-170,TOT,NFL,176,102,13,194,5,87
78,Malcolm Jenkins,2009,2018,1-14,TOT,NFL,151,143,17,498,6,87
79,Dexter McCleon,1997,2006,2-40,TOT,NFL,148,90,31,179,0,87
80,Ashley Ambrose,1992,2004,2-29,TOT,NFL,192,141,42,512,3,86
81,Lito Sheppard,2002,2011,1-26,TOT,NFL,126,79,19,460,3,86
82,Robert Alford,2013,2018,2-60,ATL,NFL,88,76,10,131,2,85
83,Fred Smoot,2001,2009,2-45,TOT,NFL,129,104,21,194,1,85
84,Dewayne Washington,1994,2005,1-18,TOT,NFL,191,171,31,569,5,85
