,,,,,,,Games,Games,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving
Rk,Player,From,To,Draft,Tm,Lg,G,GS,Tgt,Rec,Yds,Y/R,TD,Y/G,Ctch%,Y/Tgt,Rec-Normalized,Yds-Normalized,TD-Normalized,Ctch%-Normalized,Y/Tgt-Normalized
1,Jerry Rice*,1985,2004,1-16,TOT,NFL,303,284,1640,1549,22895,14.78,197,75.6,,,1.0,1.0,1.0,0.0005060413728721853,0.0005565041868459522
2,Larry Fitzgerald,2004,2018,1-3,CRD,NFL,234,232,2154,1303,16279,12.49,116,69.6,60.5%,7.56,0.7976973684210527,0.6116003287542562,0.5317919075144508,0.07327048235693552,6.726635642607732e-05
3,Terrell Owens*,1996,2010,3-89,TOT,NFL,219,201,1867,1078,15934,14.78,153,72.8,57.7%,8.53,0.6126644736842105,0.5913467183280497,0.7456647398843931,0.0698494637024852,0.0001414122265775489
4,Randy Moss*,1998,2012,1-21,TOT,NFL,218,193,1741,982,15292,15.57,156,70.1,56.4%,8.78,0.5337171052631579,0.5536573911001527,0.7630057803468208,0.06826113361291897,0.00016052198692586634
5,Isaac Bruce,1994,2009,2-33,TOT,NFL,223,201,1770,1024,15208,14.85,91,68.2,57.9%,8.59,0.5682565789473685,0.5487260772572502,0.3872832369942196,0.07009382217780306,0.00014599856906114512
6,Tony Gonzalez*,1997,2013,1-13,TOT,NFL,270,254,2012,1325,15127,11.42,111,56.0,65.9%,7.52,0.8157894736842105,0.54397088176588,0.5028901734104047,0.07986816119051833,6.420879477034653e-05
7,Tim Brown*,1988,2004,1-6,TOT,NFL,255,202,1643,1094,14934,13.65,100,58.6,,,0.6258223684210527,0.5326406011506399,0.4393063583815029,0.00016558031094463397,0.0001841776138198542
8,Steve Smith,2001,2016,3-74,TOT,NFL,219,198,1748,1031,14731,14.29,81,67.3,59.0%,8.43,0.5740131578947368,0.5207232593636257,0.32947976878612717,0.07143779379205142,0.00013376832243822197
9,Marvin Harrison*,1996,2008,1-19,CLT,NFL,190,188,1781,1102,14580,13.23,128,76.7,61.9%,8.19,0.6324013157894737,0.5118586356698368,0.6011560693641619,0.0749809916841607,0.00011542295250383723
10,Reggie Wayne,2001,2014,1-30,CLT,NFL,211,197,1714,1070,14345,13.41,82,68.0,62.4%,8.37,0.6060855263157895,0.49806269813314547,0.3352601156069364,0.0755918878724554,0.00012918197995462574
11,Andre Johnson,2003,2016,1-3,TOT,NFL,193,187,1739,1062,14185,13.36,70,73.5,61.1%,8.16,0.5995065789473685,0.4886697193847599,0.2658959537572254,0.07400355778288917,0.00011312978126203919
12,James Lofton*,1978,1993,1-6,TOT,NFL,233,212,143,764,14004,18.33,75,60.1,,,0.35444078947368424,0.4780439121756487,0.2947976878612717,0.005879661585264615,0.006975067872523371
13,Cris Carter*,1987,2002,4-3,TOT,NFL,234,209,1515,1101,13899,12.62,130,59.4,,,0.631578947368421,0.4718797698720207,0.6127167630057804,0.0002399600132929192,0.00019065864661180698
14,Anquan Boldin,2003,2016,2-54,TOT,NFL,202,198,1737,1076,13779,12.81,82,68.2,61.9%,7.93,0.6110197368421053,0.4648350358107315,0.3352601156069364,0.0749809916841607,9.554880174158712e-05
15,Henry Ellard,1983,1998,2-32,TOT,NFL,228,199,649,814,13777,16.93,65,60.4,,,0.39555921052631576,0.46471762357637664,0.23699421965317918,0.0008844611303546979,0.0011120384720215818
16,Torry Holt,1999,2009,1-6,TOT,NFL,173,158,1560,920,13382,14.55,74,77.4,59.0%,8.58,0.48273026315789475,0.4415287072912997,0.28901734104046245,0.07143779379205142,0.00014523417864721245
17,Andre Reed*,1985,2000,4-86,TOT,NFL,234,217,809,951,13198,13.88,87,56.4,,,0.5082236842105263,0.4307267817306563,0.36416184971098264,0.0007882914720855142,0.0007364112681510222
