Rk,Year,Tms,Att,Yds,TD,Y/A,Y/G,A/G,Rec,Yds,Y/R,TD,R/G,Y/G,Ctch%,Touch,Y/Tch,YScm,RRTD,Fmb
1,2018,32,25.9,114.5,0.9,4.4,114.5,25.9,22.4,254.4,11.4,1.7,22.4,237.8,,13297.4,0.0,369.0,1286,1.3
2,2017,32,26.9,109.7,0.7,4.1,109.7,26.9,21.2,239.6,11.3,1.4,21.2,224.4,,13776.2,0.0,349.3,1121,1.3
3,2016,32,26.0,108.9,0.9,4.2,108.9,26.0,22.5,255.6,11.4,1.5,22.5,241.5,,13343.5,0.0,364.5,1229,1.3
4,2015,32,26.3,108.8,0.7,4.1,108.8,26.3,22.5,259.2,11.5,1.6,22.5,243.8,,13510.5,0.0,368.0,1207,1.3
5,2014,32,26.7,111.3,0.7,4.2,111.3,26.7,21.9,251.8,11.5,1.6,21.9,236.8,,13709.9,0.0,363.1,1187,1.3
6,2013,32,27.1,112.9,0.8,4.2,112.9,27.1,21.7,252.3,11.6,1.6,21.7,235.6,,13892.7,0.0,365.2,1214,1.3
7,2012,32,27.2,115.9,0.8,4.3,115.9,27.2,21.2,246.0,11.6,1.5,21.2,231.3,,13946.2,0.0,361.9,1158,1.3
8,2011,32,27.3,117.1,0.8,4.3,117.1,27.3,20.4,244.8,12.0,1.5,20.4,229.7,,13991.4,0.0,361.9,1145,1.3
9,2010,32,27.2,114.5,0.8,4.2,114.5,27.2,20.5,236.2,11.5,1.5,20.5,221.6,,13940.5,0.0,350.7,1150,1.4
10,2009,32,27.5,116.7,0.8,4.2,116.7,27.5,20.3,232.3,11.5,1.4,20.3,218.5,,14108.3,0.0,348.9,1139,1.5
11,2008,32,27.6,116.0,0.9,4.2,116.0,27.6,19.7,224.2,11.4,1.3,19.7,211.3,,14138.7,0.0,340.1,1122,1.4
12,2007,32,27.3,110.9,0.8,4.1,110.9,27.3,20.4,228.9,11.2,1.4,20.4,214.3,,14006.4,0.0,339.8,1106,1.6
13,2006,32,28.2,117.3,0.8,4.2,117.3,28.2,19.1,219.3,11.5,1.3,19.1,204.8,,14466.1,0.0,336.6,1072,1.5
14,2005,32,28.1,112.5,0.8,4.0,112.5,28.1,19.1,218.2,11.4,1.3,19.1,203.5,,14394.1,0.0,330.7,1075,1.6
15,2004,32,28.2,116.6,0.8,4.1,116.6,28.2,19.1,225.3,11.8,1.4,19.1,210.5,,14447.1,0.0,341.9,1148,1.6
16,2003,32,28.3,117.9,0.8,4.2,117.9,28.3,18.9,213.8,11.3,1.3,18.9,200.4,,14526.9,0.0,331.7,1081,1.6
17,2002,32,27.5,116.1,0.9,4.2,116.1,27.5,20.1,227.0,11.3,1.4,20.1,212.2,,14122.1,0.0,343.1,1154,1.6
18,2001,31,27.6,111.8,0.7,4.1,111.8,27.6,19.2,221.0,11.5,1.3,19.2,205.8,,13685.2,0.0,332.8,1000,1.7
19,2000,31,27.6,112.6,0.8,4.1,112.6,27.6,19.1,222.0,11.6,1.3,19.1,206.9,,13696.1,0.0,334.6,1046,1.6
20,1999,31,27.3,106.5,0.7,3.9,106.5,27.3,19.3,228.3,11.8,1.3,19.3,212.3,,13567.3,0.0,334.8,1028,1.6
21,1998,30,28.3,112.7,0.8,4.0,112.7,28.3,18.3,221.0,12.1,1.4,18.3,205.0,,13586.3,0.0,333.7,1037,1.5
22,1997,30,28.4,113.0,0.8,4.0,113.0,28.4,18.4,219.4,11.9,1.3,18.4,201.8,,13657.4,0.0,332.4,1001,1.7
23,1996,30,28.3,109.0,0.8,3.8,109.0,28.3,19.2,222.2,11.6,1.3,19.2,207.4,,13613.2,0.0,331.2,990,1.6
24,1995,30,27.5,108.1,0.8,3.9,108.1,27.5,20.2,235.6,11.6,1.4,20.2,220.8,,13219.2,0.0,343.7,1048,1.6
25,1994,28,28.0,104.3,0.8,3.7,104.3,28.0,19.5,227.4,11.7,1.3,19.5,213.6,,12569.5,0.0,331.7,923,1.6
26,1993,28,28.3,110.0,0.7,3.9,110.0,28.3,18.6,215.4,11.6,1.2,18.6,200.6,,12702.6,0.0,325.4,821,1.7
