Rk,Year,Tms,RshTD,RecTD,PR TD,KR TD,FblTD,IntTD,OthTD,AllTD,2PM,2PA,XPM,XPA,FGM,FGA,Sfty,Pts,Pts/G
1,2018,32,439,847,7,5,24,45,4,1371,66,129,1164,1235,802,947,10,11948,23.3
2,2017,32,380,741,10,7,41,42,4,1225,37,82,1066,1134,866,1027,15,11118,21.7
3,2016,32,443,786,10,7,22,34,4,1306,51,105,1119,1195,850,1009,20,11647,22.8
4,2015,32,365,842,13,7,33,53,5,1318,45,94,1146,1217,834,987,16,11678,22.8
5,2014,32,380,807,13,6,28,47,12,1293,28,58,1222,1230,829,987,21,11565,22.6
6,2013,32,410,804,13,7,30,65,9,1338,34,69,1262,1267,863,998,20,11987,23.4
7,2012,32,401,757,18,13,26,71,11,1297,29,56,1229,1235,852,1016,13,11651,22.8
8,2011,32,400,745,20,9,31,49,5,1259,24,50,1200,1207,838,1011,21,11358,22.2
9,2010,32,399,751,13,23,22,57,5,1270,26,50,1203,1214,794,964,13,11283,22.0
10,2009,32,429,710,10,18,25,48,7,1247,24,59,1165,1185,756,930,14,10991,21.5
11,2008,32,476,646,16,13,33,52,10,1246,28,64,1170,1176,845,1000,21,11279,22.0
12,2007,32,386,720,17,25,37,52,6,1243,30,57,1165,1177,795,960,18,11104,21.7
13,2006,32,424,648,15,9,33,49,3,1181,21,35,1124,1135,767,942,12,10577,20.7
14,2005,32,431,644,9,12,23,47,6,1172,27,47,1099,1114,783,967,11,10556,20.6
15,2004,32,416,732,11,17,34,53,5,1268,37,73,1179,1189,703,870,15,11000,21.5
16,2003,32,427,654,18,13,24,58,4,1198,29,60,1110,1128,756,954,21,10666,20.8
17,2002,32,460,694,22,17,26,46,5,1270,47,81,1148,1165,737,951,12,11097,21.7
18,2001,31,365,635,12,10,33,59,6,1120,40,85,1008,1027,732,959,10,10024,20.2
19,2000,31,412,634,15,15,19,51,5,1151,35,76,1053,1063,731,917,16,10254,20.7
20,1999,31,363,665,16,13,35,58,3,1153,31,80,1051,1063,749,964,23,10324,20.8
21,1998,30,379,658,16,18,29,53,4,1157,41,99,1031,1049,708,889,18,10215,21.3
22,1997,30,384,617,15,14,37,47,6,1120,47,104,993,1007,708,906,13,9957,20.7
23,1996,30,364,626,13,9,27,41,4,1084,44,91,977,991,732,915,20,9805,20.4
24,1995,30,385,663,10,9,38,52,4,1161,40,102,1030,1049,738,954,12,10314,21.5
25,1994,28,340,583,16,16,19,45,1,1020,59,113,891,902,640,811,13,9075,20.3
26,1993,28,304,517,14,4,30,35,2,906,,0,876,901,673,879,23,8377,18.7
27,1992,28,333,516,17,6,33,47,6,958,,0,936,952,561,773,12,8391,18.7
28,1991,28,358,511,9,8,26,32,5,949,,0,919,941,623,848,12,8506,19.0
29,1990,28,377,575,8,6,27,35,7,1035,,0,997,1024,590,793,19,9015,20.1
30,1989,28,388,582,5,9,29,36,11,1060,,0,1025,1047,601,829,22,9232,20.6
31,1988,28,424,556,6,8,20,27,10,1051,,0,1004,1045,571,796,26,9075,20.3
32,1987,28,361,611,11,6,28,29,16,1062,,0,1010,1041,551,784,18,9071,21.6
33,1986,28,401,586,14,7,24,29,16,1077,,0,1026,1059,559,815,14,9193,20.5
34,1985,28,443,598,8,8,20,41,7,1125,,0,1073,1110,596,826,17,9645,21.5
35,1984,28,410,615,8,5,26,51,3,1118,,0,1075,1105,563,785,15,9502,21.2
36,1983,28,437,625,12,3,34,49,4,1164,,0,1104,1153,551,771,19,9779,21.8
37,1982,28,231,320,5,2,12,22,3,595,,0,557,587,311,456,10,5080,20.2
38,1981,28,441,591,11,5,25,30,1,1104,,0,1041,1092,521,791,17,9262,20.7
39,1980,28,431,606,7,8,22,30,8,1112,,0,1042,1097,478,752,15,9178,20.5
40,1979,28,487,538,6,6,23,30,11,1101,,0,991,1085,454,720,15,8989,20.1
41,1978,28,454,468,7,7,18,30,13,997,,0,914,982,427,677,18,8213,18.3
